Region,Organization Type,Organization Name,Link
Nova Scotia,Member Organizations,N/A,N/A
Nova Scotia,Member Organizations,Horticulture Nova Scotia,http://horticulturens.ca/
Nova Scotia,Member Organizations,Wild Blueberry Producers Association of Nova Scotia,https://nswildblueberries.com/
Nova Scotia,Associate Organizations,Oxford Frozen Foods,https://www.oxfordfrozenfoods.com/
Prince Edward Island,Member Organizations,PEI Department of Agriculture & Land,https://www.princeedwardisland.ca/en/topic/agriculture-and-land
Prince Edward Island,Member Organizations,PEI Horticultural Association Inc.,https://peifa.ca/member_organizations/the-pei-horticultural-association/
Prince Edward Island,Member Organizations,PEI Potato Board,https://www.peipotato.org/
Prince Edward Island,Member Organizations,N/A,N/A
Prince Edward Island,Member Organizations,N/A,N/A
Prince Edward Island,Member Organizations,N/A,N/A
Prince Edward Island,Member Organizations,PEI Wild Blueberry Growers Association,https://peiwildblueberries.com/
Prince Edward Island,Member Organizations,N/A,N/A
Prince Edward Island,Member Organizations,MidIsle Farms Inc.,https://midisle.com/
Prince Edward Island,Associate Organizations,Cavendish Farms,https://www.cavendishfarms.com/en/?noGeoCheck=true
Prince Edward Island,Associate Organizations,"Jasper Wyman & Son Canada, Inc.",https://wymanscanada.com/about-us/
Newfoundland,Member Organizations,"Government of Newfoundland – Fisheries, Farming, Natural Resources",https://www.gov.nl.ca/fisheries-farming-natural-resources/
Newfoundland,Member Organizations,Fruit and Vegetable Growers of Newfoundland and Labrador,https://sites.google.com/fvgnl.ca/members/
